Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
St. Kitts and Nevis,0,?,31.2038789643,?,?,249.356,4.879574185,350.542381533,?,?,3.5641424061,?,0,?,?,?,?,5.70140740740741E8,10790,103.267,86.74157,9.1,99,?,?,?,96,?,?,1.2741785471,51102,1.3980175722,16516.1664
Korea,?,7072.8,0.3554533135,182.9767582354,4669.0063982554,509170.284,10.4752460345,410.5212967435,?,48.0662949781,2.3975954676,?,?,?,?,?,78.5,9.31402204981625E11,21580,97.175,98.69321,5.1,98,5.29,1.967,8,100,?,?,0.3111383778,4.8607E7,0.5815749286,3.95952622E7
Kosovo,?,?,9.5149399434,?,?,?,?,?,?,?,?,?,6.4E7,?,?,?,?,5.64155774848184E9,3000,?,?,?,?,?,?,?,?,?,?,0.5586606709,1795000,?,?
Kuwait,?,2913.7,-0.0040002994,?,10935.0650675672,76742.976,30.1147589166,?,?,84.3224500864,1.5863719582,?,?,?,?,?,?,1.48782683750763E11,?,101.128,?,11.3,99,?,?,?,100,2.3,?,4.0249467844,2548351,4.0452823208,2506558.0436
Latin America & Caribbean,?,3634.7902392765,3.0073361536,130.6719907242,1281.4293637733,1584103.663,2.781350964,285.550668763,?,34.829120706,20.8322547613,1.110452E10,2.31621E10,1.285828E10,?,?,28.125,4.32148414617431E12,6837.2488078017,101.84,101.1616112,23.2681485071,93.3902965958,?,?,205.8961419979,79.3922718149,?,?,1.1614568913,5.69544686560104E8,1.6269017577,4.47597471947933E8
Lao PDR,?,3803.2,4.1430611718,?,?,1532.806,0.2545343317,125.2822608408,?,?,16.3170408821,6.65E8,0,?,?,2.9,13.54,5.49762580265092E9,760,87.222,74.70247,60.1,57,?,?,327,53,?,33.88,1.5161852199,6022001,5.3450357506,1859593.9088
Lebanon,?,2683.4,14.4052619839,117.8284521072,1298.0859940748,17099.221,4.1035684673,372.4846603592,?,45.0909125816,0.4773290805,?,0,?,?,?,?,3.00796019900498E10,7040,103.321,86.60485,23.5,100,?,?,?,?,?,?,0.7719581128,4166915,0.910047893,3623549.284
Liberia,?,1553.4,46.8288034913,?,?,608.722,0.1663874964,447.7201528493,?,?,18.1418972879,?,2.23E7,?,?,?,?,8.42507277559803E8,180,?,57.6253,113.6,68,0.27,0.014,29994,17,?,?,5.081578438,3658460,6.2187144371,2200197.844
Libya,?,621.9,4.4127953333,204.0207566546,3125.9612789083,58330.969,9.4852964899,619.0727249286,?,17.6334147476,0.1112536783,?,?,?,?,?,?,9.3167701863354E10,12670,?,?,18.5,?,?,?,?,97,?,?,2.0796017667,6149620,2.3120098765,4768415.348
St. Lucia,?,?,16.3487575217,?,?,396.036,2.3268236747,253.7359050547,?,?,14.2630205169,1.05E7,0,?,?,3.9,?,9.86073137020437E8,5430,100.134,97.50152,16.2,98,?,?,?,?,?,?,1.1027145406,170204.560104149,1.3904845234,47384.9495329952
